0,5
0,39
1,4
1,12
1,94
2,49
2,53
2,58
2,83
3,5
3,6
3,55
3,57
3,95
4,19
4,64
5,6
5,7
5,8
5,10
5,11
5,14
5,22
5,23
5,31
5,32
5,33
5,35
5,37
5,41
5,42
5,45
5,46
5,49
5,50
5,52
5,54
5,58
5,64
5,70
5,71
5,73
5,74
5,76
5,77
5,82
5,85
5,86
5,89
5,92
5,94
5,97
5,98
6,9
6,16
6,26
6,32
6,34
6,78
6,89
8,79
9,10
9,12
9,44
9,94
10,13
10,19
10,20
10,36
10,41
10,49
10,53
10,55
10,59
10,71
10,75
10,78
10,79
10,81
10,87
10,92
11,17
12,18
12,33
12,49
12,51
12,53
12,58
12,71
12,73
12,83
12,87
12,88
12,93
12,94
12,96
14,47
14,90
15,49
15,83
17,18
17,30
17,83
17,88
17,94
18,23
18,27
18,29
18,30
18,34
18,51
18,53
18,54
18,76
18,98
19,24
19,50
19,56
19,68
19,74
19,83
20,96
21,58
21,86
23,24
23,52
23,53
23,57
23,77
23,93
24,87
25,94
26,29
26,72
26,86
28,33
28,94
29,30
30,40
30,47
30,48
30,54
30,58
30,61
30,64
30,67
30,72
30,81
30,83
30,90
31,58
33,71
33,78
34,76
36,92
38,75
38,79
39,42
39,47
39,49
39,53
39,58
39,94
43,58
49,60
49,71
49,73
49,76
49,79
49,81
49,84
49,90
49,91
49,95
49,96
50,83
50,90
50,93
51,65
51,83
52,73
53,58
53,60
53,63
53,70
53,81
53,86
53,89
54,91
55,66
56,97
57,67
57,85
57,89
57,94
58,87
58,96
58,98
59,77
59,94
62,94
69,94
70,86
70,94
76,84
76,87
78,90
78,92
78,96
79,86
79,94
80,94
81,83
81,92
82,91
83,90
83,96
84,90
91,94
92,99
97,99
