Source,Target
0,1
0,2
0,6
0,14
0,16
0,18
0,22
0,25
0,48
0,57
0,62
0,64
0,80
0,89
0,91
0,93
0,95
1,0
1,14
1,16
1,30
1,40
1,56
1,63
1,89
2,0
2,4
2,17
2,34
2,38
2,55
2,63
2,72
2,78
2,91
2,93
2,95
2,98
3,13
3,24
3,32
3,42
3,49
3,51
3,52
3,57
3,60
3,69
3,70
3,75
3,76
3,96
4,2
4,5
4,14
4,22
4,34
4,35
4,52
4,63
4,74
4,75
4,86
4,99
5,4
5,15
5,16
5,19
5,23
5,35
5,81
6,0
6,27
6,42
6,43
6,55
6,68
6,70
6,73
6,77
6,98
6,99
7,14
7,19
7,44
7,47
7,54
7,66
7,68
7,84
7,89
7,94
7,97
8,9
8,11
8,42
8,52
8,59
8,61
8,64
8,86
8,87
9,8
9,20
9,34
9,35
9,57
9,64
9,77
9,79
9,91
10,18
10,47
10,66
10,91
10,97
10,98
11,8
11,12
11,13
11,15
11,21
11,22
11,48
11,56
11,57
11,70
11,72
11,79
11,92
12,11
12,34
12,59
12,70
12,80
12,87
12,93
12,95
13,3
13,11
13,16
13,41
13,42
13,52
14,0
14,1
14,4
14,7
14,30
14,48
14,50
14,66
14,67
14,68
14,73
14,93
14,96
15,5
15,11
15,61
15,78
15,83
15,89
15,95
15,98
16,0
16,1
16,5
16,13
16,17
16,23
16,26
16,32
16,34
16,39
16,53
16,59
16,61
16,74
16,77
16,88
17,2
17,16
17,18
17,27
17,34
17,38
17,43
17,47
17,58
17,60
17,86
17,88
17,92
17,96
18,0
18,10
18,17
18,36
18,37
18,43
18,55
18,58
18,84
19,5
19,7
19,28
19,29
19,32
19,39
19,41
19,42
19,50
19,68
19,75
19,79
20,9
20,26
20,28
20,29
20,36
20,47
20,49
20,52
20,58
20,66
20,70
20,72
20,97
21,11
21,39
21,46
21,54
21,79
21,87
22,0
22,4
22,11
22,30
22,33
22,34
22,35
22,67
22,75
22,91
22,93
22,97
23,5
23,16
23,27
23,43
23,57
23,68
23,81
23,93
23,99
24,3
24,32
24,51
24,61
24,62
24,70
24,80
24,90
24,97
24,98
25,0
25,31
25,36
25,45
25,52
25,65
25,77
25,80
25,95
26,16
26,20
26,27
26,40
26,44
26,46
26,47
26,60
26,61
26,69
26,83
26,88
26,91
27,6
27,17
27,23
27,26
27,37
27,40
27,47
27,50
27,54
27,55
27,56
27,60
27,65
27,68
27,79
27,80
27,83
27,89
27,93
27,95
28,19
28,20
28,40
28,49
28,50
28,59
28,68
28,77
28,89
28,98
29,19
29,20
29,57
29,59
29,65
29,75
29,81
29,91
30,1
30,14
30,22
30,39
30,57
30,64
30,66
30,79
30,93
30,99
31,25
31,32
31,36
31,38
31,55
31,70
31,74
31,81
31,82
32,3
32,16
32,19
32,24
32,31
32,33
32,34
32,44
32,82
32,86
32,95
33,22
33,32
33,38
33,58
33,73
33,77
33,79
33,98
34,2
34,4
34,9
34,12
34,16
34,17
34,22
34,32
34,40
34,46
34,79
34,86
34,99
35,4
35,5
35,9
35,22
35,50
35,54
35,57
35,70
35,72
35,74
35,87
35,88
35,93
36,18
36,20
36,25
36,31
36,44
36,47
36,52
36,61
36,73
36,92
36,94
36,95
37,18
37,27
37,43
37,46
37,52
37,54
37,56
37,70
37,77
38,2
38,17
38,31
38,33
38,53
38,74
38,76
38,82
38,84
38,93
39,16
39,19
39,21
39,30
39,54
39,59
39,76
39,93
40,1
40,26
40,27
40,28
40,34
40,48
40,58
40,68
40,84
40,91
40,97
41,13
41,19
41,45
41,48
41,77
41,85
41,89
42,3
42,6
42,8
42,13
42,19
42,50
42,55
42,60
42,66
42,74
42,75
42,87
42,88
42,99
43,6
43,17
43,18
43,23
43,37
43,50
43,55
43,62
43,70
43,73
43,84
43,86
43,94
44,7
44,26
44,32
44,36
44,46
44,71
44,74
44,99
45,25
45,41
45,57
45,76
45,95
45,96
46,21
46,26
46,34
46,37
46,44
46,52
46,93
46,96
46,98
47,7
47,10
47,17
47,20
47,26
47,27
47,36
47,56
47,72
47,79
47,80
47,81
47,84
48,0
48,11
48,14
48,40
48,41
48,59
48,70
48,85
48,93
48,94
49,3
49,20
49,28
50,14
50,19
50,27
50,28
50,35
50,42
50,43
50,73
50,79
50,94
50,95
51,3
51,24
51,99
52,3
52,4
52,8
52,13
52,20
52,25
52,36
52,37
52,46
52,57
52,58
52,67
52,75
52,92
53,16
53,38
53,62
53,97
54,7
54,21
54,27
54,35
54,37
54,39
54,57
54,60
54,65
54,96
55,2
55,6
55,18
55,27
55,31
55,42
55,43
55,66
55,85
55,86
55,93
55,95
56,1
56,11
56,27
56,37
56,47
56,62
56,65
56,84
56,86
57,0
57,3
57,9
57,11
57,23
57,29
57,30
57,35
57,45
57,52
57,54
57,68
57,75
57,80
58,17
58,18
58,20
58,33
58,40
58,52
58,66
58,68
58,86
58,93
58,96
59,8
59,12
59,16
59,28
59,29
59,39
59,48
59,60
59,70
60,3
60,17
60,26
60,27
60,42
60,54
60,59
60,85
61,8
61,15
61,16
61,24
61,26
61,36
61,75
61,80
61,81
61,83
62,0
62,24
62,43
62,53
62,56
62,64
62,66
62,68
62,71
62,82
62,84
62,85
62,88
62,93
62,94
63,1
63,2
63,4
63,71
63,92
63,97
64,0
64,8
64,9
64,30
64,62
64,81
64,87
64,93
64,99
65,25
65,27
65,29
65,54
65,56
65,76
66,7
66,10
66,14
66,20
66,30
66,42
66,55
66,58
66,62
66,74
66,75
67,14
67,22
67,52
67,72
67,76
68,6
68,7
68,14
68,19
68,23
68,27
68,28
68,40
68,57
68,58
68,62
68,90
68,93
69,3
69,26
69,77
70,3
70,6
70,11
70,12
70,20
70,24
70,31
70,35
70,37
70,43
70,48
70,59
70,83
70,94
70,95
71,44
71,62
71,63
71,72
71,79
71,81
71,91
71,99
72,2
72,11
72,20
72,35
72,47
72,67
72,71
72,75
72,98
73,6
73,14
73,33
73,36
73,43
73,50
73,80
74,4
74,16
74,31
74,35
74,38
74,42
74,44
74,66
74,88
74,91
75,3
75,4
75,19
75,22
75,29
75,42
75,52
75,57
75,61
75,66
75,72
75,97
76,3
76,38
76,39
76,45
76,65
76,67
76,99
77,6
77,9
77,16
77,25
77,28
77,33
77,37
77,41
77,69
77,84
77,89
77,93
77,95
78,2
78,15
78,88
78,90
79,9
79,11
79,19
79,21
79,27
79,30
79,33
79,34
79,47
79,50
79,71
79,99
80,0
80,12
80,24
80,25
80,27
80,47
80,57
80,61
80,73
80,83
80,97
80,99
81,5
81,23
81,29
81,31
81,47
81,61
81,64
81,71
81,94
82,31
82,32
82,38
82,62
82,98
83,15
83,26
83,27
83,61
83,70
83,80
83,94
84,7
84,18
84,38
84,40
84,43
84,47
84,56
84,62
84,77
84,94
85,41
85,48
85,55
85,60
85,62
85,91
85,92
85,96
85,98
86,4
86,8
86,17
86,32
86,34
86,43
86,55
86,56
86,58
86,97
87,8
87,12
87,21
87,35
87,42
87,64
87,92
88,16
88,17
88,26
