Source,Target
0,1
0,2
0,4
0,6
0,10
0,13
0,14
0,16
0,18
0,22
0,23
0,25
0,28
0,33
0,48
1,0
1,2
1,6
1,9
1,13
1,14
1,16
1,18
1,26
1,28
1,32
1,33
1,34
1,35
1,37
1,40
1,41
1,43
1,45
1,47
2,0
2,1
2,4
2,16
2,17
2,19
2,22
2,27
2,33
2,34
2,43
2,47
3,7
3,9
3,13
3,14
3,15
3,18
3,20
3,31
3,36
3,38
3,45
3,46
4,0
4,2
4,11
4,13
4,17
4,21
4,22
4,26
4,28
4,33
4,36
4,40
4,42
4,43
4,47
4,49
5,8
5,14
5,20
5,21
5,22
5,27
5,28
5,36
5,37
5,40
5,41
5,43
5,47
6,0
6,1
6,10
6,11
6,12
6,13
6,15
6,17
6,20
6,25
6,26
6,27
6,30
6,31
6,33
6,34
6,35
6,42
6,43
6,46
7,3
7,8
7,10
7,11
7,13
7,18
7,21
7,22
7,25
7,27
7,28
7,29
7,33
7,34
7,36
7,42
7,45
7,46
8,5
8,7
8,10
8,11
8,13
8,14
8,21
8,31
8,35
8,39
8,42
8,44
8,45
8,48
9,1
9,3
9,11
9,12
9,19
9,22
9,24
9,25
9,26
9,27
9,32
9,41
9,42
9,43
9,44
10,0
10,6
10,7
10,8
10,13
10,14
10,15
10,18
10,20
10,21
10,22
10,25
10,26
10,32
10,37
10,38
10,39
10,46
11,4
11,6
11,7
11,8
11,9
11,12
11,14
11,22
11,23
11,26
11,28
11,30
11,37
11,41
11,42
11,43
11,45
12,6
12,9
12,11
12,13
12,15
12,23
12,36
12,42
12,48
12,49
13,0
13,1
13,3
13,4
13,6
13,7
13,8
13,10
13,12
13,15
13,23
13,35
13,40
13,42
13,44
13,47
13,49
14,0
14,1
14,3
14,5
14,8
14,10
14,11
14,16
14,19
14,20
14,24
14,34
14,35
14,47
14,48
15,3
15,6
15,10
15,12
15,13
15,22
15,26
15,27
15,28
15,31
15,35
15,36
15,44
15,45
15,48
16,0
16,1
16,2
16,14
16,23
16,24
16,31
16,33
16,36
16,37
16,38
16,40
16,47
16,48
17,2
17,4
17,6
17,18
17,21
17,29
17,32
17,38
17,39
17,46
18,0
18,1
18,3
18,7
18,10
18,17
18,20
18,22
18,25
18,26
18,28
18,32
18,33
18,34
18,36
18,38
18,43
18,44
18,47
18,48
18,49
19,2
19,9
19,14
19,21
19,24
19,26
19,30
19,32
19,42
19,43
20,3
20,5
20,6
20,10
20,14
20,18
20,21
20,23
20,25
20,27
20,28
20,32
20,34
20,38
20,39
20,41
20,45
20,47
21,4
21,5
21,7
21,8
21,10
21,17
21,19
21,20
21,22
21,29
21,39
21,42
21,44
21,45
22,0
22,2
22,4
22,5
22,7
22,9
22,10
22,11
22,15
22,18
22,21
22,23
22,24
22,26
22,28
22,34
22,41
22,44
22,46
23,0
23,11
23,12
23,13
23,16
23,20
23,22
23,29
23,30
23,31
23,32
23,36
23,38
23,39
23,47
23,48
24,9
24,14
24,16
24,19
24,22
24,27
24,30
24,34
24,35
24,38
24,45
24,46
24,47
24,49
25,0
25,6
25,7
25,9
25,10
25,18
25,20
25,29
25,34
25,37
25,41
25,43
25,46
25,47
26,1
26,4
26,6
26,9
26,10
26,11
26,15
26,18
26,19
26,22
26,28
26,30
26,40
26,41
26,48
27,2
27,5
27,6
27,7
27,9
27,15
27,20
27,24
27,31
27,35
27,37
27,38
27,44
27,46
27,47
27,49
28,0
28,1
28,4
28,5
28,7
28,11
28,15
28,18
28,20
28,22
28,26
28,29
28,30
28,35
28,42
28,45
29,7
29,17
29,21
29,23
29,25
29,28
29,40
29,46
29,47
29,49
30,6
30,11
30,19
30,23
30,24
30,26
30,28
30,31
30,33
30,35
30,36
30,37
30,38
30,39
30,40
30,41
30,43
30,44
30,49
31,3
31,6
31,8
31,15
31,16
31,23
31,27
31,30
31,38
31,42
31,43
31,44
31,46
31,48
31,49
32,1
32,9
32,10
32,17
32,18
32,19
32,20
32,23
32,37
32,39
32,40
32,42
32,47
33,0
33,1
33,2
33,4
33,6
33,7
33,16
33,18
33,30
33,35
33,37
33,39
33,40
33,46
34,1
34,2
34,6
34,7
34,14
34,18
34,20
34,22
34,24
34,25
34,36
34,44
34,48
35,1
35,6
35,8
35,13
35,14
35,15
35,24
35,27
35,28
35,30
35,33
35,36
35,40
35,42
36,3
36,4
36,5
36,7
36,12
36,15
36,16
36,18
36,23
36,30
36,34
36,35
36,41
36,42
36,43
36,46
36,48
37,1
37,5
37,10
37,11
37,16
37,25
37,27
37,30
37,32
37,33
37,43
37,48
38,3
38,10
38,16
38,17
38,18
38,20
38,23
38,24
38,27
38,30
38,31
38,39
38,41
38,46
38,48
39,8
39,10
39,17
39,20
39,21
39,23
39,30
39,32
39,33
39,38
39,45
39,46
39,49
40,1
40,4
40,5
40,13
40,16
40,26
40,29
40,30
40,32
40,33
40,35
40,45
40,47
40,49
41,1
41,5
41,9
41,11
41,20
41,22
41,25
41,26
41,30
41,36
41,38
41,42
41,43
41,47
41,48
41,49
42,4
42,6
42,7
42,8
42,9
42,11
42,12
42,13
42,19
42,21
42,28
42,31
42,32
42,35
42,36
42,41
42,44
42,48
43,1
43,2
43,4
43,5
43,6
43,9
43,11
43,18
43,19
43,25
43,30
43,31
43,36
43,37
43,41
43,44
43,47
43,48
43,49
44,8
44,9
44,13
44,15
44,18
44,21
44,22
44,27
44,30
44,31
44,34
44,42
44,43
44,46
45,1
45,3
45,7
45,8
45,11
45,15
45,20
45,21
45,24
45,28
45,39
45,40
45,46
46,3
46,6
46,7
46,10
46,17
46,22
46,24
46,25
46,27
46,29
46,31
46,33
46,36
46,38
46,39
46,44
46,45
46,47
47,1
47,2
47,4
47,5
47,13
47,14
47,16
47,18
47,20
47,23
47,24
47,25
47,27
47,29
47,32
47,40
47,41
47,43
47,46
48,0
48,8
48,12
48,14
48,15
48,16
48,18
48,23
48,26
48,31
48,34
48,36
48,37
48,38
48,41
48,42
48,43
49,4
49,12
49,13
49,18
49,24
49,27
49,29
49,30
49,31
49,39
49,40
49,41
49,43
