Source,Target
0,1
0,2
0,6
0,14
0,16
0,18
0,22
0,25
0,48
1,0
1,9
1,14
1,16
1,32
1,41
1,43
1,45
1,47
2,0
2,17
2,19
2,33
2,43
3,13
3,20
3,46
4,13
4,26
4,43
4,47
5,20
5,28
5,37
5,43
6,0
6,13
6,15
6,17
6,20
6,31
6,42
7,8
7,18
7,25
7,27
7,28
7,33
7,36
7,45
7,46
8,7
8,10
8,11
8,31
8,35
8,44
9,1
9,12
9,24
9,25
9,42
10,8
10,14
10,25
10,26
10,37
11,8
11,12
11,22
11,23
11,26
11,30
11,42
12,9
12,11
13,3
13,4
13,6
13,15
14,0
14,1
14,10
14,19
14,34
14,35
14,47
15,6
15,13
15,26
15,28
15,31
15,35
16,0
16,1
16,23
16,24
16,31
16,36
17,2
17,6
17,29
17,32
17,39
18,0
18,7
18,20
18,22
18,38
18,43
18,48
19,2
19,14
19,21
19,24
19,26
20,3
20,5
20,6
20,18
20,28
20,38
20,45
20,47
21,19
21,22
21,44
21,45
22,0
22,11
22,18
22,21
22,41
23,11
23,16
23,29
23,30
24,9
24,16
24,19
24,27
24,34
24,47
24,49
25,0
25,7
25,9
25,10
25,37
26,4
26,10
26,11
26,15
26,19
26,30
27,7
27,24
27,37
28,5
28,7
28,15
28,20
28,35
29,17
29,23
29,40
29,46
29,47
29,49
30,11
30,23
30,26
30,31
30,33
30,39
30,40
31,6
31,8
31,15
31,16
31,30
31,48
32,1
32,17
32,39
32,40
33,2
33,7
33,30
33,37
33,39
33,46
34,14
34,24
34,44
35,8
35,14
35,15
35,28
36,7
36,16
36,46
37,5
37,10
37,25
37,27
37,33
38,18
38,20
38,48
39,17
39,30
39,32
39,33
39,49
40,29
40,30
40,32
41,1
41,22
41,42
41,49
42,6
42,9
42,11
42,41
42,48
43,1
43,2
43,4
43,5
43,18
43,44
44,8
44,21
44,34
44,43
44,46
45,1
45,7
45,20
45,21
46,3
46,7
46,29
46,33
46,36
46,44
47,1
47,4
47,14
47,20
47,24
47,29
48,0
48,18
48,31
48,38
48,42
49,24
49,29
49,39
49,41
