4,41
86,87
7,12
14,4
4,36
19,4
18,4
66,65
24,4
39,4
4,55
34,35
27,2
38,37
81,4
4,93
96,97
4,19
4,46
20,9
4,57
15,4
4,52
2,27
4,71
57,4
7,58
4,5
37,38
77,4
78,4
4,16
88,4
49,48
29,37
37,29
4,62
45,2
4,73
4,15
4,68
2,11
4,26
53,4
54,4
59,4
27,49
4,21
79,4
4,98
84,4
7,8
22,23
4,51
4,78
2,1
30,4
4,31
4,84
40,4
55,4
4,42
65,66
60,4
2,64
4,67
4,94
10,9
6,4
5,4
9,20
16,4
12,7
36,4
4,47
73,4
4,53
94,4
93,4
98,4
4,6
4,17
4,44
4,63
70,4
69,4
4,74
75,4
74,4
80,4
28,29
4,69
95,4
4,80
82,83
97,96
32,33
4,60
25,4
46,4
4,79
51,4
50,4
56,4
71,4
2,13
76,4
4,24
4,85
64,2
4,43
13,2
21,4
4,76
26,4
47,4
4,95
52,4
4,40
4,59
4,54
3,4
29,28
4,92
4,18
11,2
87,86
2,45
85,4
91,4
4,56
33,32
4,75
1,2
83,82
4,70
4,81
89,90
41,4
100,99
62,4
61,4
67,4
99,100
72,4
4,61
92,4
4,72
4,14
4,91
9,10
4,25
17,4
48,49
43,4
42,4
63,4
4,50
68,4
4,77
4,3
4,88
49,27
4,30
