Source,Target
0,1
0,2
0,5
0,25
0,27
0,36
1,0
1,20
2,0
2,3
2,4
2,5
2,15
2,16
2,18
2,22
2,25
2,41
2,44
2,45
3,2
3,35
3,37
3,46
3,49
4,2
5,0
5,2
5,17
5,19
5,21
5,29
5,31
5,40
5,43
6,17
6,48
7,17
7,39
7,45
7,46
8,35
9,35
10,19
10,45
11,36
12,17
12,25
12,35
12,36
13,32
13,35
13,46
14,17
15,2
16,2
16,17
16,18
16,34
16,42
17,5
17,6
17,7
17,12
17,14
17,16
17,19
17,20
17,23
17,24
17,26
17,29
17,30
17,35
17,39
17,45
17,47
17,48
18,2
18,16
18,46
19,5
19,10
19,17
19,36
20,1
20,17
20,47
21,5
22,2
22,36
22,48
23,17
23,27
24,17
25,0
25,2
25,12
25,32
25,34
25,36
25,39
26,17
27,0
27,23
27,33
28,29
28,34
29,5
29,17
29,28
29,35
30,17
31,5
32,13
32,25
33,27
34,16
34,25
34,28
34,39
35,3
35,8
35,9
35,12
35,13
35,17
35,29
35,42
36,0
36,11
36,12
36,19
36,22
36,25
36,43
37,3
38,43
39,7
39,17
39,25
39,34
39,43
40,5
41,2
42,16
42,35
42,45
43,5
43,36
43,38
43,39
43,44
44,2
44,43
45,2
45,7
45,10
45,17
45,42
45,46
46,3
46,7
46,13
46,18
46,45
47,17
47,20
48,6
48,17
48,22
49,3
